age,tenure_months,monthly_charges,num_products,support_tickets,has_premium,contract_type,payment_method,churned
56,17,111.51,4,2,No,Month-to-month,Credit card,0
69,120,68.37,4,1,No,Month-to-month,Credit card,0
46,63,45.14,3,3,Yes,Month-to-month,Credit card,0
32,19,65.09,2,3,No,One year,Bank transfer,0
60,92,116.82,5,1,No,Month-to-month,Electronic check,1
25,58,68.42,5,1,Yes,Month-to-month,Electronic check,0
38,55,52.15,5,2,No,Two year,Mailed check,0
56,90,82.4,3,1,No,Month-to-month,Bank transfer,0
36,101,43.35,4,2,No,Month-to-month,Credit card,0
40,90,27.03,3,0,Yes,One year,Electronic check,0
28,117,32.3,5,1,Yes,Two year,Credit card,0
28,62,32.21,2,2,No,One year,Bank transfer,0
41,23,34.58,1,5,No,One year,Bank transfer,0
70,9,33.29,4,0,No,Two year,Electronic check,0
53,12,83.14,4,1,No,Month-to-month,Electronic check,0
57,117,37.56,3,1,Yes,Two year,Bank transfer,0
41,1,53.82,4,3,No,Month-to-month,Bank transfer,1
20,58,108.55,5,3,Yes,Two year,Electronic check,0
39,1,66.56,5,2,No,Month-to-month,Mailed check,0
70,111,85.79,3,0,No,One year,Credit card,0
19,34,36.61,5,1,No,Month-to-month,Credit card,0
41,96,38.59,2,0,No,One year,Credit card,0
61,118,23.56,3,2,Yes,Month-to-month,Mailed check,0
47,48,36.28,2,3,No,Two year,Electronic check,0
55,89,47.16,1,3,Yes,Two year,Bank transfer,0
19,104,37.08,2,1,No,Month-to-month,Mailed check,0
38,109,28.31,1,2,Yes,Two year,Electronic check,0
50,117,31.48,1,1,No,One year,Electronic check,0
29,1,65.26,2,0,No,One year,Mailed check,0
39,16,39.99,3,2,Yes,Month-to-month,Electronic check,0
61,61,55.67,5,2,No,Month-to-month,Electronic check,0
42,103,69.49,5,0,No,Month-to-month,Electronic check,0
66,64,88.06,1,0,No,Month-to-month,Electronic check,0
44,63,23.4,1,2,Yes,Two year,Bank transfer,0
59,69,98.88,3,2,Yes,Month-to-month,Bank transfer,0
45,22,81.85,4,3,Yes,Two year,Bank transfer,0
33,93,27.62,2,1,No,Month-to-month,Electronic check,0
32,119,106.25,1,5,No,Month-to-month,Electronic check,0
64,67,110.94,5,1,Yes,One year,Bank transfer,0
68,76,25.57,3,0,No,Two year,Bank transfer,0
61,26,46.99,2,2,Yes,Month-to-month,Mailed check,0
69,16,99.56,3,0,Yes,Month-to-month,Mailed check,0
20,51,93.8,2,1,No,Month-to-month,Credit card,0
54,101,37.82,2,0,Yes,Month-to-month,Electronic check,0
68,86,40.29,1,1,Yes,Month-to-month,Mailed check,0
24,57,56.29,3,1,No,Month-to-month,Bank transfer,0
38,29,67.61,3,0,Yes,Month-to-month,Mailed check,0
26,78,80.89,5,1,No,One year,Mailed check,0
56,92,56.13,5,2,No,Month-to-month,Mailed check,0
35,69,65.43,1,1,No,Month-to-month,Credit card,0
21,47,93.72,1,2,No,Month-to-month,Electronic check,0
42,113,23.14,4,2,No,One year,Electronic check,0
31,94,44.57,5,1,No,Two year,Electronic check,0
67,110,90.34,2,1,No,Month-to-month,Credit card,0
26,62,108.39,3,1,No,One year,Electronic check,0
43,116,70.31,1,2,No,Month-to-month,Credit card,0
70,69,72.34,3,1,No,Month-to-month,Mailed check,0
19,76,30.14,3,1,Yes,Month-to-month,Credit card,0
37,16,63.93,4,2,Yes,Month-to-month,Credit card,0
45,90,72.39,5,1,Yes,One year,Mailed check,0
64,90,43.58,1,0,No,Two year,Electronic check,0
24,48,46.24,3,1,No,Month-to-month,Electronic check,0
61,85,56.96,1,2,No,One year,Electronic check,0
25,39,21.49,2,1,No,One year,Bank transfer,0
64,100,51.48,4,3,No,Month-to-month,Electronic check,0
52,33,40.5,2,1,Yes,Month-to-month,Mailed check,0
31,94,52.02,1,1,No,Month-to-month,Mailed check,0
34,101,31.39,1,2,No,Month-to-month,Credit card,0
53,23,107.93,5,1,No,Month-to-month,Electronic check,0
