sqft,bedrooms,bathrooms,year_built,distance_to_center_km,lot_size_acres,neighborhood_type,sale_price
4017,1,1.5,1983,22.6,0.41,Suburbs,270300
2351,3,1.5,1980,8.9,0.81,Downtown,232600
3892,2,3.0,1970,8.7,1.06,Downtown,419600
2248,4,2.5,1986,4.8,0.15,Waterfront,333700
2844,2,2.5,1975,14.4,1.01,Suburbs,246900
4027,5,3.5,1985,26.1,0.73,Rural,315300
2519,1,2.5,2020,11.9,0.77,Downtown,266200
1665,3,3.5,2020,7.8,0.68,Waterfront,299300
3306,5,3.0,1989,7.5,1.06,Rural,307400
1095,4,2.0,2022,15.1,0.15,Suburbs,139900
2918,5,3.5,2008,6.2,0.39,Downtown,358700
2051,5,1.5,1975,13.0,1.06,Suburbs,209100
3987,4,2.0,1966,5.7,0.93,Suburbs,360500
2792,5,4.0,1975,0.5,0.12,Suburbs,328900
911,3,3.0,1994,3.9,0.67,Suburbs,134000
2498,2,2.5,2017,4.7,0.68,Downtown,289000
1546,5,3.5,1975,1.2,0.54,Suburbs,221400
1744,3,1.5,1999,0.9,0.43,Suburbs,251600
2916,2,1.0,2021,6.1,0.85,Suburbs,290500
2206,2,4.0,1971,0.7,0.33,Downtown,233900
741,5,1.0,1994,2.9,0.98,Waterfront,206200
776,3,2.0,2008,10.9,0.98,Suburbs,127800
729,5,2.5,1980,26.7,0.56,Rural,80000
2497,4,1.0,2009,10.1,0.41,Suburbs,256100
3959,2,2.0,2002,39.3,0.41,Downtown,281200
1632,5,3.0,1995,9.6,0.63,Suburbs,220900
4093,2,2.0,2007,2.8,0.89,Suburbs,388900
1565,3,4.0,1976,8.9,0.49,Rural,147400
3183,1,2.0,1991,9.7,0.77,Suburbs,293800
1343,5,4.0,2000,3.7,0.52,Suburbs,212800
674,5,2.0,1965,0.5,0.43,Waterfront,206000
805,2,1.5,1983,9.7,0.13,Suburbs,106800
3329,3,2.0,1986,0.5,0.1,Waterfront,418400
2462,4,3.5,1979,8.0,0.35,Waterfront,303600
2203,3,2.0,1984,1.4,0.55,Downtown,286700
2616,5,1.5,1961,6.7,1.04,Suburbs,277700
2383,4,1.5,1968,5.6,0.98,Suburbs,266000
1730,3,3.0,1987,0.5,0.39,Suburbs,201000
2278,1,4.0,2012,3.6,0.37,Suburbs,264900
668,2,2.5,2020,7.4,0.35,Waterfront,192500
2057,3,1.0,1997,15.1,0.47,Rural,133400
1866,3,1.0,1962,17.6,0.65,Suburbs,154700
2934,1,2.0,1979,5.3,0.58,Downtown,294900
2060,5,3.0,1965,10.4,0.34,Suburbs,234400
4147,2,2.0,1998,3.0,0.24,Downtown,401700
926,3,1.0,1992,3.4,0.11,Rural,80000
3948,4,4.0,2014,1.7,0.27,Suburbs,417900
1394,3,4.0,1960,6.6,0.88,Suburbs,182200
1201,2,4.0,1996,3.0,0.37,Downtown,195400
4044,3,1.5,1965,0.7,0.62,Rural,297800
1826,1,2.5,2004,9.2,0.75,Downtown,225800
1288,3,3.0,1993,9.8,1.08,Rural,148700
886,3,1.5,2006,3.6,1.08,Suburbs,157200
1647,4,2.5,1974,0.6,0.92,Rural,185200
2752,1,3.0,2004,4.4,0.14,Suburbs,265700
2653,1,3.0,1985,4.7,0.73,Downtown,322800
2109,3,1.0,2016,8.8,0.97,Rural,168000
3381,4,1.5,1973,3.0,0.12,Downtown,344400
2806,3,3.0,2017,9.2,0.7,Suburbs,297300
1857,3,3.5,2013,16.4,1.04,Downtown,245400
2041,2,4.0,1966,2.2,0.62,Rural,213000
2656,2,3.0,2005,30.9,0.1,Waterfront,244200
1871,4,2.5,2022,3.9,0.11,Suburbs,252200
2044,5,1.0,2017,2.5,0.56,Suburbs,246500
1022,2,2.0,1990,4.4,0.27,Rural,80000
3670,5,4.0,1983,0.8,0.83,Downtown,440700
2170,1,1.0,2018,1.1,0.88,Waterfront,324900
2898,2,2.0,1990,4.3,0.3,Downtown,343100
1498,2,1.5,1988,11.5,1.08,Waterfront,236500
3206,4,1.5,2001,18.4,0.59,Rural,222700
1995,5,3.0,1991,8.7,0.26,Rural,174800
2972,2,3.5,1976,0.9,0.94,Suburbs,342100
2908,2,1.5,1973,8.9,0.97,Suburbs,246900
1153,4,3.0,1999,8.1,0.8,Suburbs,139500
3839,4,4.0,1995,13.1,1.04,Downtown,427600
1352,5,1.0,2023,14.0,0.91,Suburbs,152300
2739,1,1.5,2017,16.2,1.07,Suburbs,255400
964,1,1.0,2007,4.3,0.58,Rural,80000
3485,3,1.0,1983,9.6,0.92,Suburbs,337600
3026,2,3.5,2004,2.5,1.2,Downtown,383000
1690,5,1.5,2022,40.0,0.9,Suburbs,89200
932,2,1.0,2013,1.5,0.23,Suburbs,98500
3640,5,3.5,1986,0.5,0.67,Suburbs,439300
907,5,3.5,1984,1.3,0.75,Suburbs,173200
1224,5,1.5,2018,12.0,0.29,Rural,110000
1223,2,3.5,1991,4.7,1.16,Suburbs,203000
3309,4,1.5,2011,4.7,0.29,Suburbs,346600
1692,2,1.5,1977,24.8,0.3,Suburbs,118400
2202,5,2.0,2005,20.2,1.11,Rural,187400
3534,3,1.0,1977,3.0,0.61,Suburbs,362800
1072,1,2.5,1996,1.9,0.17,Rural,89900
2139,5,1.5,1985,15.1,0.76,Downtown,224000
2046,3,1.0,1968,18.9,0.76,Rural,134700
1407,4,4.0,2019,6.2,0.17,Suburbs,224800
3460,5,3.5,1994,7.9,1.17,Suburbs,383500
1754,3,3.0,2023,2.4,0.7,Suburbs,235900
2224,5,1.5,1967,12.9,0.72,Suburbs,200100
3121,2,3.5,1979,8.0,0.67,Downtown,353700
1078,3,3.5,2013,5.6,0.77,Rural,163300
4109,2,3.5,2001,0.5,0.39,Suburbs,397500
2671,2,3.5,1981,19.8,0.42,Waterfront,285000
853,3,3.5,1978,7.6,0.66,Rural,95000
2893,1,1.5,1989,1.7,0.99,Suburbs,273700
3425,3,4.0,2012,7.5,0.15,Rural,342300
2982,1,2.5,1987,9.1,0.76,Suburbs,281300
2642,5,2.0,1994,6.0,0.99,Downtown,331200
2893,5,3.5,2002,10.1,0.27,Waterfront,387900
956,3,3.5,2022,7.0,0.12,Suburbs,155700
2337,5,2.0,1970,23.6,0.44,Suburbs,153700
663,4,4.0,1990,0.5,0.75,Suburbs,175600
2510,2,4.0,2008,0.9,0.25,Suburbs,280500
3867,2,1.5,2007,1.5,0.57,Waterfront,452400
2611,1,1.0,1998,9.4,0.71,Downtown,250700
1730,5,3.0,1995,8.3,0.76,Suburbs,220700
1372,1,3.0,1989,17.8,0.4,Suburbs,124300
1429,2,1.0,1982,10.6,0.54,Suburbs,108900
1883,2,1.5,1978,5.7,0.96,Suburbs,197400
1178,5,3.0,1971,38.5,1.14,Downtown,85700
1447,4,4.0,1974,2.5,1.05,Downtown,268800
