age,department,job_role,salary_band,years_at_company,overtime,last_promotion_years,wfh_days_per_week,performance_rating,left_company
53.0,Marketing,Associate,Medium,8.0,No,3.0,5.0,2.0,0
41.0,ENGINEERING,Associate,High,14.0,No,0.0,2.0,2.0,0
31.0,H.R.,Director,Medium,3.0,No,,,3.0,0
34.0,Mktg.,Associate,Low,12.0,No,7.0,3.0,4.0,0
50.0,hr,Analyst,Low,11.0,No,5.0,2.0,3.0,0
56.0,Human Resources,Manager,Medium,4.0,Yes,8.0,0.0,2.0,1
29.0,ENGINEERING,Manager,Low,6.0,Yes,1.0,,5.0,0
50.0,HR,Analyst,,7.0,Yes,2.0,4.0,5.0,0
52.0,sales,Associate,Medium,4.0,No,8.0,0.0,3.0,1
51.0,hr,Manager,Medium,8.0,No,8.0,0.0,2.0,0
43.0,hr,Analyst,Medium,13.0,No,5.0,1.0,5.0,1
42.0,Eng,Manager,High,11.0,No,2.0,,3.0,0
33.0,Sales Dept,Associate,Medium,3.0,Yes,4.0,5.0,3.0,0
32.0,SALES,Specialist,Medium,19.0,Yes,1.0,1.0,3.0,0
23.0,Mktg.,Associate,High,7.0,Yes,6.0,5.0,4.0,0
23.0,Engineering,Manager,Medium,16.0,No,9.0,0.0,,0
55.0,Engineering,Director,Medium,7.0,Yes,7.0,,,0
24.0,SALES,Manager,Medium,0.0,Yes,5.0,,,0
37.0,Sales,Analyst,Low,19.0,No,,0.0,,0
,finance,Manager,Medium,1.0,No,1.0,1.0,4.0,0
44.0,hr,Director,Medium,3.0,Yes,2.0,,2.0,1
41.0,sales,Director,Senior,0.0,No,6.0,4.0,4.0,0
46.0,Engineering,Lead,High,6.0,No,,,3.0,0
51.0,Engineering,Associate,Medium,0.0,No,,1.0,3.0,0
39.0,Sales Dept,Analyst,,8.0,No,6.0,2.0,3.0,0
32.0,hr,Analyst,,2.0,Yes,5.0,1.0,3.0,0
50.0,Sales Dept,Analyst,Medium,11.0,No,7.0,0.0,2.0,0
38.0,Sales,Associate,Medium,18.0,No,6.0,3.0,3.0,0
47.0,H.R.,Associate,Low,14.0,Yes,3.0,,3.0,0
44.0,Finance,Lead,Medium,15.0,No,2.0,3.0,4.0,0
41.0,Engineering,Director,Low,9.0,No,2.0,,1.0,0
23.0,ENGINEERING,Specialist,Senior,5.0,No,3.0,,4.0,0
45.0,Sales,Director,Low,16.0,Yes,8.0,1.0,3.0,0
52.0,Mktg,Specialist,,16.0,No,,1.0,2.0,0
48.0,FINANCE,Associate,,18.0,Yes,1.0,4.0,3.0,0
23.0,Engineering,Associate,Medium,17.0,No,4.0,1.0,3.0,0
35.0,engineering,Director,High,10.0,Yes,0.0,5.0,3.0,0
25.0,H.R.,Associate,Medium,6.0,Yes,3.0,1.0,3.0,0
34.0,marketing,Manager,Medium,9.0,No,,1.0,5.0,0
57.0,FINANCE,Analyst,Medium,6.0,No,7.0,,5.0,0
56.0,Sales,Analyst,,4.0,No,3.0,0.0,3.0,0
29.0,SALES,Manager,,11.0,No,4.0,4.0,4.0,0
23.0,Engineering,Director,Medium,15.0,Yes,3.0,5.0,,0
27.0,ENGINEERING,Analyst,,17.0,No,4.0,1.0,3.0,0
52.0,marketing,Manager,Low,2.0,No,4.0,4.0,4.0,0
31.0,sales,Manager,Medium,19.0,Yes,4.0,,3.0,0
42.0,Eng.,Director,Low,14.0,No,2.0,,2.0,1
31.0,H.R.,Analyst,Low,4.0,Yes,6.0,1.0,2.0,1
44.0,engineering,Analyst,Low,12.0,No,2.0,5.0,3.0,0
24.0,Mktg.,Analyst,Low,18.0,No,1.0,0.0,3.0,0
53.0,ENGINEERING,Analyst,Low,11.0,No,2.0,5.0,3.0,0
41.0,hr,Specialist,High,4.0,No,2.0,0.0,3.0,0
31.0,Engineering,Manager,Low,5.0,No,,2.0,3.0,1
