age,tenure_months,monthly_charges,num_products,support_tickets,has_premium,contract_type,payment_method,churned,risk_assessment_score
68,78,59.23,4,1,No,Month-to-month,Mailed check,0,0.0
49,103,78.37,3,1,Yes,Month-to-month,Credit card,0,0.0
31,41,68.28,1,0,No,Month-to-month,Electronic check,0,0.0
59,92,49.64,5,0,No,Two year,Electronic check,0,0.5
46,95,75.01,1,1,No,One year,Mailed check,0,0.0
23,81,85.98,1,0,Yes,Month-to-month,Credit card,0,0.5
67,35,22.15,2,0,No,One year,Bank transfer,0,0.0
21,40,65.76,2,3,No,Two year,Mailed check,0,0.8
28,22,25.23,5,2,Yes,One year,Bank transfer,0,0.0
62,109,38.01,1,5,No,Month-to-month,Electronic check,0,5.4
57,48,75.16,3,1,No,Two year,Credit card,1,84.6
27,53,105.51,1,1,No,Month-to-month,Credit card,0,0.0
45,93,107.16,2,2,Yes,Month-to-month,Bank transfer,0,2.8
28,10,26.45,1,0,Yes,Month-to-month,Mailed check,0,0.0
52,18,61.12,4,2,No,Two year,Credit card,0,0.4
32,99,77.39,4,1,No,Two year,Credit card,0,4.0
25,108,34.1,3,1,No,Two year,Bank transfer,0,0.0
37,80,95.51,5,1,No,Month-to-month,Mailed check,0,0.0
67,114,93.4,1,1,Yes,Two year,Bank transfer,0,0.0
38,49,109.2,4,1,No,Month-to-month,Bank transfer,0,0.0
18,71,20.34,5,1,Yes,Month-to-month,Mailed check,0,7.3
46,30,41.02,4,0,No,Month-to-month,Electronic check,0,0.0
41,19,101.64,5,3,No,Month-to-month,Mailed check,1,78.9
47,55,86.09,5,0,No,One year,Bank transfer,1,72.4
57,60,108.31,4,1,No,Month-to-month,Mailed check,0,7.6
52,87,25.18,2,0,Yes,Two year,Electronic check,0,0.0
50,72,78.78,5,3,No,Month-to-month,Bank transfer,0,0.0
37,81,76.01,1,0,Yes,Month-to-month,Mailed check,0,0.0
33,21,23.04,4,3,Yes,Two year,Electronic check,0,3.2
26,26,70.49,2,1,Yes,Month-to-month,Mailed check,0,1.7
48,28,80.03,4,2,No,One year,Credit card,0,13.2
34,39,38.5,3,2,Yes,One year,Bank transfer,0,2.3
48,33,46.64,1,4,No,Month-to-month,Electronic check,0,0.0
65,40,83.09,3,1,No,One year,Credit card,0,0.0
40,83,66.0,5,0,No,Month-to-month,Electronic check,0,0.0
23,29,104.7,5,4,Yes,Two year,Credit card,1,74.5
47,20,53.5,3,2,Yes,Month-to-month,Electronic check,0,0.2
24,20,45.98,3,2,No,Month-to-month,Electronic check,0,3.9
65,74,117.3,5,2,No,Month-to-month,Mailed check,0,0.0
57,12,109.98,2,1,Yes,Month-to-month,Mailed check,1,78.0
59,120,22.38,1,4,No,One year,Mailed check,0,7.6
63,97,96.03,4,0,No,Two year,Credit card,0,0.0
28,120,30.46,3,1,No,One year,Credit card,0,0.0
51,25,22.23,1,1,No,Month-to-month,Mailed check,0,0.0
29,25,46.68,4,1,No,Two year,Mailed check,0,0.0
69,117,46.25,4,1,No,Month-to-month,Electronic check,0,1.9
69,4,100.86,3,0,Yes,One year,Electronic check,1,80.2
62,4,90.07,2,1,No,One year,Bank transfer,1,80.9
64,9,116.97,2,1,No,Month-to-month,Electronic check,0,5.8
44,15,90.15,1,5,Yes,Two year,Bank transfer,0,0.0
29,120,61.03,1,1,No,Month-to-month,Mailed check,0,3.9
30,26,88.9,5,2,Yes,One year,Electronic check,0,7.6
25,79,118.75,2,2,Yes,One year,Mailed check,0,0.0
33,90,90.02,1,2,Yes,Two year,Electronic check,0,3.7
46,92,95.13,5,3,No,Two year,Mailed check,0,0.0
52,71,112.68,4,2,No,Month-to-month,Credit card,0,4.6
46,32,30.79,1,1,No,One year,Mailed check,0,0.0
48,76,89.49,5,1,No,Month-to-month,Electronic check,0,0.0
30,99,103.99,2,2,Yes,Month-to-month,Bank transfer,1,80.0
