date,category,sku_id,units_sold,revenue,is_holiday,holiday_name,day_of_week,month,quarter,year
2021-01-01,Clothing,CLO_01,331,2648.0,1,New Year,4,1,1,2021
2021-01-01,Clothing,CLO_02,476,5712.0,1,New Year,4,1,1,2021
2021-01-01,Clothing,CLO_03,656,10496.0,1,New Year,4,1,1,2021
2021-01-01,Clothing,CLO_04,990,19800.0,1,New Year,4,1,1,2021
2021-01-01,Electronics,ELE_01,146,1168.0,1,New Year,4,1,1,2021
2021-01-01,Electronics,ELE_02,230,2760.0,1,New Year,4,1,1,2021
2021-01-01,Electronics,ELE_03,360,5760.0,1,New Year,4,1,1,2021
2021-01-01,Electronics,ELE_04,495,9900.0,1,New Year,4,1,1,2021
2021-01-01,Food,FOO_01,908,7264.0,1,New Year,4,1,1,2021
2021-01-01,Food,FOO_02,1566,18792.0,1,New Year,4,1,1,2021
2021-01-01,Food,FOO_03,2054,32864.0,1,New Year,4,1,1,2021
2021-01-01,Food,FOO_04,2749,54980.0,1,New Year,4,1,1,2021
2021-01-01,Home,HOM_01,136,1088.0,1,New Year,4,1,1,2021
2021-01-01,Home,HOM_02,198,2376.0,1,New Year,4,1,1,2021
2021-01-01,Home,HOM_03,296,4736.0,1,New Year,4,1,1,2021
2021-01-01,Home,HOM_04,387,7740.0,1,New Year,4,1,1,2021
2021-01-01,Sports,SPO_01,118,944.0,1,New Year,4,1,1,2021
2021-01-01,Sports,SPO_02,138,1656.0,1,New Year,4,1,1,2021
2021-01-01,Sports,SPO_03,234,3744.0,1,New Year,4,1,1,2021
2021-01-01,Sports,SPO_04,237,4740.0,1,New Year,4,1,1,2021
2021-01-02,Clothing,CLO_01,474,3792.21,0,,5,1,1,2021
2021-01-02,Clothing,CLO_02,660,7920.43,0,,5,1,1,2021
2021-01-02,Clothing,CLO_03,744,11904.65,0,,5,1,1,2021
2021-01-02,Clothing,CLO_04,1174,23481.29,0,,5,1,1,2021
2021-01-02,Electronics,ELE_01,329,2632.14,0,,5,1,1,2021
2021-01-02,Electronics,ELE_02,439,5268.29,0,,5,1,1,2021
2021-01-02,Electronics,ELE_03,594,9504.52,0,,5,1,1,2021
2021-01-02,Electronics,ELE_04,820,16400.9,0,,5,1,1,2021
2021-01-02,Food,FOO_01,697,5576.31,0,,5,1,1,2021
2021-01-02,Food,FOO_02,934,11208.61,0,,5,1,1,2021
2021-01-02,Food,FOO_03,1393,22289.22,0,,5,1,1,2021
2021-01-02,Food,FOO_04,1530,30601.68,0,,5,1,1,2021
2021-01-02,Home,HOM_01,186,1488.08,0,,5,1,1,2021
2021-01-02,Home,HOM_02,335,4020.22,0,,5,1,1,2021
2021-01-02,Home,HOM_03,362,5792.32,0,,5,1,1,2021
2021-01-02,Home,HOM_04,425,8500.47,0,,5,1,1,2021
